"# Channel 1"
"# Trace 1 PHASE OUTPUT#4"
Frequency, Formatted Data, Formatted Data
+3.01883993750E+008, -1.11059708068E+001, +0.00000000000E+000
+3.03758987500E+008, -1.11126648545E+001, +0.00000000000E+000
+3.05633981250E+008, -1.11461545053E+001, +0.00000000000E+000
+3.07508975000E+008, -1.11445300778E+001, +0.00000000000E+000
+3.09383968750E+008, -1.11078057940E+001, +0.00000000000E+000
+3.11258962500E+008, -1.10869004776E+001, +0.00000000000E+000
+3.13133956250E+008, -1.10660982015E+001, +0.00000000000E+000
+3.15008950000E+008, -1.10649478999E+001, +0.00000000000E+000
+3.16883943750E+008, -1.10609596431E+001, +0.00000000000E+000
+3.18758937500E+008, -1.10258145121E+001, +0.00000000000E+000
+3.20633931250E+008, -1.10264327893E+001, +0.00000000000E+000
+3.22508925000E+008, -1.09767781878E+001, +0.00000000000E+000
+3.24383918750E+008, -1.09807529095E+001, +0.00000000000E+000
+3.26258912500E+008, -1.09943679003E+001, +0.00000000000E+000
+3.28133906250E+008, -1.09665903320E+001, +0.00000000000E+000
+3.30008900000E+008, -1.09797828007E+001, +0.00000000000E+000
+3.31883893750E+008, -1.09742930626E+001, +0.00000000000E+000
+3.33758887500E+008, -1.09965641005E+001, +0.00000000000E+000
+3.35633881250E+008, -1.10193481646E+001, +0.00000000000E+000
+3.37508875000E+008, -1.10462071427E+001, +0.00000000000E+000
+3.39383868750E+008, -1.10516936457E+001, +0.00000000000E+000
+3.41258862500E+008, -1.10517435247E+001, +0.00000000000E+000
+3.43133856250E+008, -1.10931772537E+001, +0.00000000000E+000
+3.45008850000E+008, -1.10958026092E+001, +0.00000000000E+000
+3.46883843750E+008, -1.11086490567E+001, +0.00000000000E+000
+3.48758837500E+008, -1.11471590262E+001, +0.00000000000E+000
+3.50633831250E+008, -1.11615726868E+001, +0.00000000000E+000
+3.52508825000E+008, -1.11458474531E+001, +0.00000000000E+000
+3.54383818750E+008, -1.12166828210E+001, +0.00000000000E+000
+3.56258812500E+008, -1.12395770179E+001, +0.00000000000E+000
+3.58133806250E+008, -1.12685817293E+001, +0.00000000000E+000
+3.60008800000E+008, -1.12982881367E+001, +0.00000000000E+000
+3.61883793750E+008, -1.13369928239E+001, +0.00000000000E+000
+3.63758787500E+008, -1.14014886116E+001, +0.00000000000E+000
+3.65633781250E+008, -1.14654379152E+001, +0.00000000000E+000
+3.67508775000E+008, -1.15185539304E+001, +0.00000000000E+000
+3.69383768750E+008, -1.15803973362E+001, +0.00000000000E+000
+3.71258762500E+008, -1.16544320198E+001, +0.00000000000E+000
+3.73133756250E+008, -1.17085549480E+001, +0.00000000000E+000
+3.75008750000E+008, -1.17942785188E+001, +0.00000000000E+000
+3.76883743750E+008, -1.18713389748E+001, +0.00000000000E+000
+3.78758737500E+008, -1.19112363313E+001, +0.00000000000E+000
+3.80633731250E+008, -1.20021083525E+001, +0.00000000000E+000
+3.82508725000E+008, -1.20976465755E+001, +0.00000000000E+000
+3.84383718750E+008, -1.21802809594E+001, +0.00000000000E+000
+3.86258712500E+008, -1.22753697942E+001, +0.00000000000E+000
+3.88133706250E+008, -1.23252978545E+001, +0.00000000000E+000
+3.90008700000E+008, -1.23928615179E+001, +0.00000000000E+000
+3.91883693750E+008, -1.24797461672E+001, +0.00000000000E+000
+3.93758687500E+008, -1.25382032065E+001, +0.00000000000E+000
+3.95633681250E+008, -1.26277231243E+001, +0.00000000000E+000
+3.97508675000E+008, -1.26908923812E+001, +0.00000000000E+000
+3.99383668750E+008, -1.27613906851E+001, +0.00000000000E+000
+4.01258662500E+008, -1.28085358791E+001, +0.00000000000E+000
+4.03133656250E+008, -1.28633370391E+001, +0.00000000000E+000
+4.05008650000E+008, -1.29475754917E+001, +0.00000000000E+000
+4.06883643750E+008, -1.30416941612E+001, +0.00000000000E+000
+4.08758637500E+008, -1.31647859641E+001, +0.00000000000E+000
+4.10633631250E+008, -1.32647604941E+001, +0.00000000000E+000
+4.12508625000E+008, -1.33634077043E+001, +0.00000000000E+000
+4.14383618750E+008, -1.34332621684E+001, +0.00000000000E+000
+4.16258612500E+008, -1.35526279072E+001, +0.00000000000E+000
+4.18133606250E+008, -1.36675591025E+001, +0.00000000000E+000
+4.20008600000E+008, -1.37816546759E+001, +0.00000000000E+000
+4.21883593750E+008, -1.38399529258E+001, +0.00000000000E+000
+4.23758587500E+008, -1.38876166349E+001, +0.00000000000E+000
+4.25633581250E+008, -1.39689054386E+001, +0.00000000000E+000
+4.27508575000E+008, -1.40209754257E+001, +0.00000000000E+000
+4.29383568750E+008, -1.40947384449E+001, +0.00000000000E+000
+4.31258562500E+008, -1.41510246599E+001, +0.00000000000E+000
+4.33133556250E+008, -1.42224669098E+001, +0.00000000000E+000
+4.35008550000E+008, -1.42618941805E+001, +0.00000000000E+000
+4.36883543750E+008, -1.43237526359E+001, +0.00000000000E+000
+4.38758537500E+008, -1.43860184975E+001, +0.00000000000E+000
