"# Channel 1"
"# Trace 2 amplitude OUTPUT#4"
Frequency, Formatted Data, Formatted Data
+5.83133056250E+008, +1.93925004397E+000, +0.00000000000E+000
+5.85008050000E+008, +1.93741503379E+000, +0.00000000000E+000
+5.86883043750E+008, +1.93095385891E+000, +0.00000000000E+000
+5.88758037500E+008, +1.92477908035E+000, +0.00000000000E+000
+5.90633031250E+008, +1.91890586418E+000, +0.00000000000E+000
+5.92508025000E+008, +1.91275826357E+000, +0.00000000000E+000
+5.94383018750E+008, +1.90972908987E+000, +0.00000000000E+000
+5.96258012500E+008, +1.90254962801E+000, +0.00000000000E+000
+5.98133006250E+008, +1.89436211784E+000, +0.00000000000E+000
+6.00008000000E+008, +1.88946155602E+000, +0.00000000000E+000
+6.01882993750E+008, +1.88397574300E+000, +0.00000000000E+000
+6.03757987500E+008, +1.87425520394E+000, +0.00000000000E+000
+6.05632981250E+008, +1.86705650640E+000, +0.00000000000E+000
+6.07507975000E+008, +1.86007181350E+000, +0.00000000000E+000
+6.09382968750E+008, +1.85465740930E+000, +0.00000000000E+000
+6.11257962500E+008, +1.84696971630E+000, +0.00000000000E+000
+6.13132956250E+008, +1.84657890029E+000, +0.00000000000E+000
+6.15007950000E+008, +1.83433099709E+000, +0.00000000000E+000
+6.16882943750E+008, +1.83489141533E+000, +0.00000000000E+000
+6.18757937500E+008, +1.83443950345E+000, +0.00000000000E+000
+6.20632931250E+008, +1.82961305863E+000, +0.00000000000E+000
+6.22507925000E+008, +1.82635083013E+000, +0.00000000000E+000
+6.24382918750E+008, +1.82417693151E+000, +0.00000000000E+000
+6.26257912500E+008, +1.81938907994E+000, +0.00000000000E+000
+6.28132906250E+008, +1.81758951447E+000, +0.00000000000E+000
+6.30007900000E+008, +1.81178162902E+000, +0.00000000000E+000
+6.31882893750E+008, +1.80007534954E+000, +0.00000000000E+000
+6.33757887500E+008, +1.79313142427E+000, +0.00000000000E+000
+6.35632881250E+008, +1.78438366894E+000, +0.00000000000E+000
+6.37507875000E+008, +1.77698395925E+000, +0.00000000000E+000
+6.39382868750E+008, +1.76961871171E+000, +0.00000000000E+000
+6.41257862500E+008, +1.76052200255E+000, +0.00000000000E+000
+6.43132856250E+008, +1.75576086970E+000, +0.00000000000E+000
+6.45007850000E+008, +1.75046345277E+000, +0.00000000000E+000
+6.46882843750E+008, +1.74820824052E+000, +0.00000000000E+000
+6.48757837500E+008, +1.74513183878E+000, +0.00000000000E+000
+6.50632831250E+008, +1.74636366205E+000, +0.00000000000E+000
+6.52507825000E+008, +1.74605168004E+000, +0.00000000000E+000
+6.54382818750E+008, +1.74381704056E+000, +0.00000000000E+000
+6.56257812500E+008, +1.74462201102E+000, +0.00000000000E+000
+6.58132806250E+008, +1.73587244600E+000, +0.00000000000E+000
+6.60007800000E+008, +1.73086299043E+000, +0.00000000000E+000
+6.61882793750E+008, +1.72800371041E+000, +0.00000000000E+000
+6.63757787500E+008, +1.71740080826E+000, +0.00000000000E+000
+6.65632781250E+008, +1.70330629731E+000, +0.00000000000E+000
+6.67507775000E+008, +1.69091231842E+000, +0.00000000000E+000
+6.69382768750E+008, +1.67725859004E+000, +0.00000000000E+000
+6.71257762500E+008, +1.67046933542E+000, +0.00000000000E+000
+6.73132756250E+008, +1.65664772685E+000, +0.00000000000E+000
+6.75007750000E+008, +1.64816478454E+000, +0.00000000000E+000
+6.76882743750E+008, +1.63791199328E+000, +0.00000000000E+000
+6.78757737500E+008, +1.63696585260E+000, +0.00000000000E+000
+6.80632731250E+008, +1.62806083672E+000, +0.00000000000E+000
+6.82507725000E+008, +1.62292046356E+000, +0.00000000000E+000
+6.84382718750E+008, +1.62574321409E+000, +0.00000000000E+000
+6.86257712500E+008, +1.61609738171E+000, +0.00000000000E+000
+6.88132706250E+008, +1.61010678783E+000, +0.00000000000E+000
+6.90007700000E+008, +1.60365418231E+000, +0.00000000000E+000
+6.91882693750E+008, +1.59939048228E+000, +0.00000000000E+000
+6.93757687500E+008, +1.59044621614E+000, +0.00000000000E+000
+6.95632681250E+008, +1.58611394079E+000, +0.00000000000E+000
+6.97507675000E+008, +1.57352030367E+000, +0.00000000000E+000
+6.99382668750E+008, +1.56897217820E+000, +0.00000000000E+000
+7.01257662500E+008, +1.55788366518E+000, +0.00000000000E+000
+7.03132656250E+008, +1.55273859086E+000, +0.00000000000E+000
+7.05007650000E+008, +1.54916367578E+000, +0.00000000000E+000
+7.06882643750E+008, +1.54498023440E+000, +0.00000000000E+000
+7.08757637500E+008, +1.53635487284E+000, +0.00000000000E+000
+7.10632631250E+008, +1.52866653648E+000, +0.00000000000E+000
+7.12507625000E+008, +1.52748040244E+000, +0.00000000000E+000
+7.14382618750E+008, +1.52300061101E+000, +0.00000000000E+000
+7.16257612500E+008, +1.51969445813E+000, +0.00000000000E+000
+7.18132606250E+008, +1.51766681339E+000, +0.00000000000E+000
+7.20007600000E+008, +1.51636266668E+000, +0.00000000000E+000
+7.21882593750E+008, +1.51575342354E+000, +0.00000000000E+000
+7.23757587500E+008, +1.51500940274E+000, +0.00000000000E+000
+7.25632581250E+008, +1.51765037244E+000, +0.00000000000E+000
+7.27507575000E+008, +1.52240073295E+000, +0.00000000000E+000
+7.29382568750E+008, +1.52576363140E+000, +0.00000000000E+000
+7.31257562500E+008, +1.52847747195E+000, +0.00000000000E+000
+7.33132556250E+008, +1.53119912981E+000, +0.00000000000E+000
+7.35007550000E+008, +1.53283996851E+000, +0.00000000000E+000
+7.36882543750E+008, +1.53253126511E+000, +0.00000000000E+000
+7.38757537500E+008, +1.53555468153E+000, +0.00000000000E+000
+7.40632531250E+008, +1.53256714180E+000, +0.00000000000E+000
+7.42507525000E+008, +1.52968511505E+000, +0.00000000000E+000
+7.44382518750E+008, +1.52391107465E+000, +0.00000000000E+000
+7.46257512500E+008, +1.51493933281E+000, +0.00000000000E+000
+7.48132506250E+008, +1.50834056445E+000, +0.00000000000E+000
+7.50007500000E+008, +1.50541166204E+000, +0.00000000000E+000
+7.51882493750E+008, +1.49889563755E+000, +0.00000000000E+000
+7.53757487500E+008, +1.49996783002E+000, +0.00000000000E+000
+7.55632481250E+008, +1.50010841242E+000, +0.00000000000E+000
+7.57507475000E+008, +1.50031913591E+000, +0.00000000000E+000
+7.59382468750E+008, +1.50416343735E+000, +0.00000000000E+000
+7.61257462500E+008, +1.51163782145E+000, +0.00000000000E+000
+7.63132456250E+008, +1.51560703185E+000, +0.00000000000E+000
+7.65007450000E+008, +1.52062581982E+000, +0.00000000000E+000
+7.66882443750E+008, +1.52132505553E+000, +0.00000000000E+000
+7.68757437500E+008, +1.51486502146E+000, +0.00000000000E+000
+7.70632431250E+008, +1.50959357801E+000, +0.00000000000E+000
+7.72507425000E+008, +1.49953199066E+000, +0.00000000000E+000
+7.74382418750E+008, +1.48923062108E+000, +0.00000000000E+000
+7.76257412500E+008, +1.47695697092E+000, +0.00000000000E+000
+7.78132406250E+008, +1.46047762264E+000, +0.00000000000E+000
+7.80007400000E+008, +1.45108031902E+000, +0.00000000000E+000
+7.81882393750E+008, +1.44205029016E+000, +0.00000000000E+000
+7.83757387500E+008, +1.43665851349E+000, +0.00000000000E+000
