"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+6.70091625000E+008, -6.05417414631E+000, +0.00000000000E+000
+6.75091562500E+008, -5.75773950870E+000, +0.00000000000E+000
+6.80091500000E+008, -5.80606978674E+000, +0.00000000000E+000
+6.85091437500E+008, -5.97647829470E+000, +0.00000000000E+000
+6.90091375000E+008, -6.12492937022E+000, +0.00000000000E+000
+6.95091312500E+008, -6.30374472871E+000, +0.00000000000E+000
+7.00091250000E+008, -6.14260999843E+000, +0.00000000000E+000
+7.05091187500E+008, -5.69537571756E+000, +0.00000000000E+000
+7.10091125000E+008, -5.90821809091E+000, +0.00000000000E+000
+7.15091062500E+008, -6.38252157440E+000, +0.00000000000E+000
+7.20091000000E+008, -6.47619372820E+000, +0.00000000000E+000
+7.25090937500E+008, -6.20494763382E+000, +0.00000000000E+000
+7.30090875000E+008, -6.04379390226E+000, +0.00000000000E+000
+7.35090812500E+008, -6.09012233776E+000, +0.00000000000E+000
+7.40090750000E+008, -6.39873360970E+000, +0.00000000000E+000
+7.45090687500E+008, -6.74234418428E+000, +0.00000000000E+000
+7.50090625000E+008, -6.48682260194E+000, +0.00000000000E+000
+7.55090562500E+008, -6.06330026993E+000, +0.00000000000E+000
+7.60090500000E+008, -6.12292986418E+000, +0.00000000000E+000
+7.65090437500E+008, -6.47321391054E+000, +0.00000000000E+000
+7.70090375000E+008, -6.74300210304E+000, +0.00000000000E+000
+7.75090312500E+008, -6.59885029238E+000, +0.00000000000E+000
+7.80090250000E+008, -6.50767118601E+000, +0.00000000000E+000
+7.85090187500E+008, -6.25369781615E+000, +0.00000000000E+000
+7.90090125000E+008, -6.29728914670E+000, +0.00000000000E+000
+7.95090062500E+008, -6.74615839194E+000, +0.00000000000E+000
+8.00090000000E+008, -7.06970192802E+000, +0.00000000000E+000
+8.05089937500E+008, -6.61423156499E+000, +0.00000000000E+000
+8.10089875000E+008, -6.21466206566E+000, +0.00000000000E+000
+8.15089812500E+008, -6.28449543023E+000, +0.00000000000E+000
+8.20089750000E+008, -6.72485760717E+000, +0.00000000000E+000
+8.25089687500E+008, -7.01739559549E+000, +0.00000000000E+000
+8.30089625000E+008, -6.83780733969E+000, +0.00000000000E+000
+8.35089562500E+008, -6.38016488544E+000, +0.00000000000E+000
+8.40089500000E+008, -6.30021460859E+000, +0.00000000000E+000
+8.45089437500E+008, -6.80229095069E+000, +0.00000000000E+000
+8.50089375000E+008, -7.14474109376E+000, +0.00000000000E+000
+8.55089312500E+008, -6.85837422873E+000, +0.00000000000E+000
+8.60089250000E+008, -6.54553717492E+000, +0.00000000000E+000
+8.65089187500E+008, -6.56110372837E+000, +0.00000000000E+000
+8.70089125000E+008, -6.74225863555E+000, +0.00000000000E+000
+8.75089062500E+008, -7.05346922402E+000, +0.00000000000E+000
+8.80089000000E+008, -7.32019867169E+000, +0.00000000000E+000
+8.85088937500E+008, -6.93726235708E+000, +0.00000000000E+000
+8.90088875000E+008, -6.69687055410E+000, +0.00000000000E+000
+8.95088812500E+008, -6.60362613700E+000, +0.00000000000E+000
+9.00088750000E+008, -7.22754879954E+000, +0.00000000000E+000
+9.05088687500E+008, -7.55447169064E+000, +0.00000000000E+000
+9.10088625000E+008, -7.14227535086E+000, +0.00000000000E+000
